32.223.6.94:80  # status 404 http://httpbin.org/ip
31.145.174.170:8080  # ProxyError HTTPConnectionPool(host='31.145.174.170', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1550>, 'Connection to 31.145.174.170 timed out. (connect timeout=8)')))
117.54.114.35:80  # ProxyError HTTPConnectionPool(host='117.54.114.35', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E0850>, 'Connection to 117.54.114.35 timed out. (connect timeout=8)')))
134.209.29.120:80  # status 403 http://httpbin.org/ip
5.78.67.134:8088  # ProxyError HTTPConnectionPool(host='5.78.67.134', port=8088): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
47.90.205.231:33333  # ProxyError HTTPConnectionPool(host='47.90.205.231', port=33333): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2B50>, 'Connection to 47.90.205.231 timed out. (connect timeout=8)')))
31.145.50.4:8080  # ProxyError HTTPConnectionPool(host='31.145.50.4', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
48.218.198.55:8080  # ProxyError HTTPConnectionPool(host='48.218.198.55', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
34.92.88.81:33333  # ProxyError HTTPConnectionPool(host='34.92.88.81', port=33333): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3250>, 'Connection to 34.92.88.81 timed out. (connect timeout=8)')))
31.145.50.7:8080  # ProxyError HTTPConnectionPool(host='31.145.50.7', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.174.174:8080  # ProxyError HTTPConnectionPool(host='31.145.174.174', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.174.169:8080  # ProxyError HTTPConnectionPool(host='31.145.174.169', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
52.188.28.218:3128  # ProxyError HTTPConnectionPool(host='52.188.28.218', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2E50>, 'Connection to 52.188.28.218 timed out. (connect timeout=8)')))
157.10.97.185:8080  # ProxyError HTTPConnectionPool(host='157.10.97.185', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3E50>, 'Connection to 157.10.97.185 timed out. (connect timeout=8)')))
31.145.50.15:8080  # ProxyError HTTPConnectionPool(host='31.145.50.15', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.174.178:8080  # ProxyError HTTPConnectionPool(host='31.145.174.178', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.50.10:8080  # ProxyError HTTPConnectionPool(host='31.145.50.10', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.50.2:8080  # ProxyError HTTPConnectionPool(host='31.145.50.2', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.174.183:8080  # ProxyError HTTPConnectionPool(host='31.145.174.183', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
115.147.32.198:8082  # ProxyError HTTPConnectionPool(host='115.147.32.198', port=8082): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838F50>, 'Connection to 115.147.32.198 timed out. (connect timeout=8)')))
80.75.213.22:3138  # ProxyError HTTPConnectionPool(host='80.75.213.22', port=3138): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13839350>, 'Connection to 80.75.213.22 timed out. (connect timeout=8)')))
139.59.1.14:80  # status 403 http://httpbin.org/ip
185.200.37.37:8080  # ProxyError HTTPConnectionPool(host='185.200.37.37', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838A50>, 'Connection to 185.200.37.37 timed out. (connect timeout=8)')))
103.214.109.68:80  # ReadTimeout HTTPConnectionPool(host='103.214.109.68', port=80): Read timed out. (read timeout=8)
67.43.236.21:31713  # ProxyError HTTPConnectionPool(host='67.43.236.21', port=31713): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838450>, 'Connection to 67.43.236.21 timed out. (connect timeout=8)')))
138.68.60.8:80  # status 403 http://httpbin.org/ip
107.152.45.72:8888  # ProxyError HTTPConnectionPool(host='107.152.45.72', port=8888): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BB50>, 'Connection to 107.152.45.72 timed out. (connect timeout=8)')))
66.36.234.130:1339  # ProxyError HTTPConnectionPool(host='66.36.234.130', port=1339): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2F50>, 'Connection to 66.36.234.130 timed out. (connect timeout=8)')))
172.105.62.167:8080  # ProxyError HTTPConnectionPool(host='172.105.62.167', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E0450>, 'Connection to 172.105.62.167 timed out. (connect timeout=8)')))
67.43.228.253:3881  # ProxyError HTTPConnectionPool(host='67.43.228.253', port=3881): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3A50>, 'Connection to 67.43.228.253 timed out. (connect timeout=8)')))
38.194.224.134:1452  # ProxyError HTTPConnectionPool(host='38.194.224.134', port=1452): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1A50>, 'Connection to 38.194.224.134 timed out. (connect timeout=8)')))
157.20.36.151:1080  # ProxyError HTTPConnectionPool(host='157.20.36.151', port=1080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E3050>, 'Connection to 157.20.36.151 timed out. (connect timeout=8)')))
85.117.63.37:8080  # ProxyError HTTPConnectionPool(host='85.117.63.37', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E0650>, 'Connection to 85.117.63.37 timed out. (connect timeout=8)')))
116.98.228.59:1011  # ProxyError HTTPConnectionPool(host='116.98.228.59', port=1011): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E0550>, 'Connection to 116.98.228.59 timed out. (connect timeout=8)')))
38.54.71.67:80  # ReadTimeout HTTPConnectionPool(host='38.54.71.67', port=80): Read timed out. (read timeout=8)
161.35.70.249:8080  # ProxyError HTTPConnectionPool(host='161.35.70.249', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
45.152.87.67:8443  # ReadTimeout HTTPConnectionPool(host='45.152.87.67', port=8443): Read timed out. (read timeout=8)
